Engine.Type,proportion
Reciprocating,0.850072744611397
Turbo Shaft,0.04412358025747925
Turbo Prop,0.041458315503771714
Turbo Fan,0.03033266905480909
Unknown,0.02507549545804653
Turbo Jet,0.008594867531451347
Geared Turbofan,0.00014671182130500165
Electric,0.0001222598510875014
NONE,2.4451970217500273e-05
LR,2.4451970217500273e-05
Hybrid Rocket,1.2225985108750137e-05
UNK,1.2225985108750137e-05
