,Event.Id,Investigation.Type,Accident.Number,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Weather.Condition,Broad.phase.of.flight,Report.Status
Unique,87951,2,88863,27758,219,25589,27154,10374,24870,109,4,15,79104,8237,12318,2,12,31,3,26,13590,4,12,17074
NaN,0,0,0,52,226,54507,54516,38757,36185,1000,3194,56602,1382,63,92,102,7096,56866,76307,6192,72241,4492,27165,6384
