Airport.Name,proportion
Private,0.004553734061930784
PRIVATE,0.004250151791135397
Private Airstrip,0.0029030054644808745
NONE,0.0027701882210078932
PRIVATE STRIP,0.0021061020036429873
PRIVATE AIRSTRIP,0.001745598057073467
MERRILL FIELD,0.0015748330297510626
VAN NUYS,0.0015368852459016393
MUNICIPAL,0.0014799635701275046
CENTENNIAL,0.0014230418943533697
UNKNOWN,0.0013091985428051003
CHINO,0.0010056162720097146
BIRCHWOOD,0.0009297207043108683
SEDONA,0.000891772920461445
CAMARILLO,0.0008538251366120218
FALCON FIELD,0.0008538251366120218
SAN CARLOS,0.0008348512446873103
PALO ALTO,0.0008348512446873103
MERRILL,0.0008158773527625987
SANTA PAULA,0.0007969034608378871
NORTH LAS VEGAS,0.0007969034608378871
ORLANDO EXECUTIVE,0.0007969034608378871
NORTH PERRY,0.0007779295689131755
Private Strip,0.0007779295689131755
North Las Vegas,0.0007589556769884638
MIAMI INTERNATIONAL,0.0007589556769884638
PVT,0.0007589556769884638
FRONT RANGE,0.0007210078931390407
CORONADO,0.0007210078931390407
BIG BEAR CITY,0.0007020340012143291
RENO/STEAD,0.0007020340012143291
TRUCKEE-TAHOE,0.0006830601092896175
JEFFERSON COUNTY,0.0006640862173649058
COLUMBIA,0.0006640862173649058
ADDISON,0.0006640862173649058
BETHEL,0.0006640862173649058
FLYING CLOUD,0.0006640862173649058
TRI-COUNTY,0.0006261384335154827
SPIRIT OF ST. LOUIS,0.0006261384335154827
DEKALB-PEACHTREE,0.0006261384335154827
LAKE HOOD,0.0006261384335154827
MARLBORO,0.0006071645415907711
LONG BEACH,0.0006071645415907711
PALM BEACH COUNTY PARK,0.0005881906496660595
WHITEMAN,0.0005881906496660595
ANCHORAGE INTERNATIONAL,0.0005881906496660595
RAMONA,0.0005881906496660595
BOEING FIELD,0.000569216757741348
RYAN FIELD,0.000569216757741348
REPUBLIC,0.000569216757741348
ALBERT WHITTED,0.000569216757741348
ORANGE COUNTY,0.000569216757741348
SCOTTSDALE,0.0005502428658166363
AG STRIP,0.0005502428658166363
Centennial Airport,0.0005312689738919247
PORTLAND-HILLSBORO,0.0005312689738919247
OPA LOCKA,0.0005312689738919247
JEFFCO,0.0005312689738919247
JOHN WAYNE,0.0005122950819672131
FLAGLER COUNTY,0.0004933211900425015
Merrill Field,0.0004933211900425015
Centennial,0.0004933211900425015
Falcon Field,0.0004933211900425015
DILLINGHAM,0.0004933211900425015
FORT LAUDERDALE EXECUTIVE,0.0004933211900425015
PALWAUKEE,0.0004743472981177899
CABLE,0.0004743472981177899
SPRUCE CREEK,0.0004743472981177899
MERRITT ISLAND,0.0004553734061930783
FULLERTON,0.0004553734061930783
Gillespie Field,0.0004553734061930783
ARLINGTON MUNI,0.0004553734061930783
Denver International Airport,0.0004553734061930783
CATALINA,0.0004553734061930783
DAVID WAYNE HOOKS,0.0004553734061930783
WITTMAN FIELD,0.0004553734061930783
MONROE COUNTY,0.0004553734061930783
CRYSTAL,0.0004553734061930783
EL MONTE,0.0004553734061930783
ARLINGTON MUNICIPAL,0.0004553734061930783
SOLDOTNA,0.0004553734061930783
O'HARE INTERNATIONAL,0.00043639951426836674
Falcon Field Airport,0.00043639951426836674
REID-HILLVIEW,0.00043639951426836674
TALKEETNA,0.00043639951426836674
DETROIT CITY,0.00043639951426836674
DUPAGE,0.00041742562234365515
Fort Lauderdale Executive,0.00041742562234365515
CHICAGO O'HARE INTL,0.00041742562234365515
CAPITAL CITY,0.00041742562234365515
FAIRBANKS INTERNATIONAL,0.00041742562234365515
GREELEY-WELD COUNTY,0.00041742562234365515
PAGE FIELD,0.00041742562234365515
MONTGOMERY FIELD,0.00041742562234365515
APPLE VALLEY,0.00041742562234365515
FULTON COUNTY,0.00041742562234365515
LAKE HOOD STRIP,0.00041742562234365515
JOHNSON COUNTY EXECUTIVE,0.00041742562234365515
PLEASANT VALLEY,0.00039845173041894356
BOWMAN FIELD,0.00039845173041894356
CRAIG MUNICIPAL,0.00039845173041894356
MEMPHIS INTERNATIONAL,0.00039845173041894356
Phoenix Deer Valley Airport,0.00039845173041894356
CORONA,0.00039845173041894356
BROOKHAVEN,0.00039845173041894356
ESSEX COUNTY,0.00039845173041894356
HOMER,0.00039845173041894356
TETERBORO,0.00039845173041894356
VANCE BRAND,0.00039845173041894356
MEADOW LAKE,0.00039845173041894356
DENVER INTERNATIONAL,0.00039845173041894356
HEMET-RYAN,0.00039845173041894356
JEAN,0.00039845173041894356
GILLESPIE FIELD,0.00039845173041894356
ANCHORAGE,0.00039845173041894356
PLACERVILLE,0.0003794778384942319
MONTGOMERY COUNTY,0.0003794778384942319
LAKEFRONT,0.0003794778384942319
WILLOW RUN,0.0003794778384942319
LINCOLN PARK,0.0003794778384942319
KING SALMON,0.0003794778384942319
ERNEST A. LOVE FIELD,0.0003794778384942319
GRAND STRAND,0.0003794778384942319
LOS ANGELES INTL,0.0003794778384942319
GREENWOOD LAKE,0.0003794778384942319
FRIEDMAN MEMORIAL,0.0003794778384942319
AUBURN MUNI,0.00036050394656952033
O'HARE,0.00036050394656952033
DOUBLE EAGLE II,0.00036050394656952033
FREEWAY,0.00036050394656952033
LAKE TAHOE,0.00036050394656952033
ELLINGTON,0.00036050394656952033
SKY HARBOR,0.00036050394656952033
PAYSON,0.00036050394656952033
SKYHAVEN,0.00036050394656952033
LAKELAND LINDER REGIONAL,0.00036050394656952033
FULLERTON MUNI,0.00036050394656952033
Sedona,0.00036050394656952033
AURORA,0.00036050394656952033
Phoenix Deer Valley,0.00036050394656952033
AUBURN MUNICIPAL,0.00036050394656952033
BOCA RATON,0.00036050394656952033
SPIRIT OF ST LOUIS,0.00036050394656952033
Chandler Municipal,0.00036050394656952033
BOULDER MUNICIPAL,0.00036050394656952033
Montgomery Field,0.00036050394656952033
KANSAS CITY DOWNTOWN,0.00034153005464480874
SANFORD,0.00034153005464480874
COMPTON,0.00034153005464480874
ANGEL FIRE,0.00034153005464480874
CHANDLER MUNI,0.00034153005464480874
Denver International,0.00034153005464480874
BLAIRSTOWN,0.00034153005464480874
GEORGETOWN,0.00034153005464480874
CHANDLER,0.00034153005464480874
CREVE COEUR,0.00034153005464480874
GRAND CANYON,0.00034153005464480874
SANTA BARBARA,0.00034153005464480874
Lakeland Linder Regional,0.00034153005464480874
KAHULUI,0.00034153005464480874
BOISE AIR TERMINAL,0.00034153005464480874
BOONE COUNTY,0.00034153005464480874
Wittman Regional Airport,0.00032255616272009716
SKY ACRES,0.00032255616272009716
BURBANK,0.00032255616272009716
SKY MANOR,0.00032255616272009716
TRI-CITIES,0.00032255616272009716
NUT TREE,0.00032255616272009716
SACRAMENTO EXECUTIVE,0.00032255616272009716
CREST AIRPARK,0.00032255616272009716
WILEY POST,0.00032255616272009716
LANCASTER,0.00032255616272009716
Meadow Lake Airport,0.00032255616272009716
MCCOLLUM,0.00032255616272009716
NAPLES MUNICIPAL,0.00032255616272009716
LOS ANGELES INTERNATIONAL,0.00032255616272009716
THERMAL,0.00032255616272009716
Fairbanks International,0.00032255616272009716
LA GUARDIA,0.00032255616272009716
KENAI,0.00030358227079538557
PENSACOLA REGIONAL,0.00030358227079538557
GOOSE BAY,0.00030358227079538557
Birchwood,0.00030358227079538557
San Francisco International,0.00030358227079538557
COTTONWOOD,0.00030358227079538557
STAPLETON INTERNATIONAL,0.00030358227079538557
ALLEGHENY COUNTY,0.00030358227079538557
SANTA MONICA,0.00030358227079538557
Chandler Municipal Airport,0.00030358227079538557
VERO BEACH,0.00030358227079538557
FELTS FIELD,0.00030358227079538557
BADER FIELD,0.00030358227079538557
FRESNO AIR TERMINAL,0.00030358227079538557
SALT LAKE CITY INTL,0.00030358227079538557
CHERRY RIDGE,0.00030358227079538557
Van Nuys,0.00030358227079538557
LINDEN,0.00030358227079538557
