Airport.Code,proportion
NONE,0.029681640469161413
PVT,0.009674459427112423
APA,0.003191574243995851
ORD,0.0029721535147211363
MRI,0.0027327854464214473
DEN,0.002293943987872018
OSH,0.0021742599537221733
BJC,0.002034628580547355
VNY,0.001994733902497407
FFZ,0.0019548392244474588
VGT,0.0019149445463975106
DVT,0.0018949972073725365
PRC,0.0018351551902976142
LGB,0.0016556291390728477
CNO,0.0016356818000478736
PDK,0.0015758397829729513
FXE,0.0015558924439479772
MIA,0.0015359451049230034
LAX,0.0015359451049230034
LAL,0.0015359451049230034
TRK,0.001456155748823107
HWO,0.001436208409798133
MYF,0.0014162610707731589
RHV,0.0013963137317481848
FUL,0.0013963137317481848
ATL,0.0013763663927232107
DWH,0.0013763663927232107
SUS,0.0013763663927232107
SNA,0.0013564190536982366
L35,0.0013564190536982366
ANC,0.0013564190536982366
FLL,0.0013564190536982366
PWK,0.0013564190536982366
SEZ,0.0013564190536982366
CMA,0.0013364717146732625
JFK,0.0013165243756482884
PAO,0.0013165243756482884
DFW,0.0012965770366233146
ABQ,0.0012766296975983405
RYN,0.0012766296975983405
SEE,0.0012566823585733664
ORL,0.0012367350195483923
WHP,0.0012167876805234182
TMB,0.00117689300247347
LNA,0.001156945663448496
OPF,0.001156945663448496
BOS,0.0011369983244235219
BFI,0.0011369983244235219
DAB,0.0011170509853985478
FLG,0.0010971036463735737
CHD,0.0010971036463735737
SLC,0.0010971036463735737
U42,0.0010971036463735737
SDL,0.0010971036463735737
FAI,0.0010771563073485996
APF,0.0010771563073485996
LAS,0.0010771563073485996
FRG,0.0010771563073485996
RNO,0.0010572089683236257
OGD,0.0010572089683236257
TUS,0.0010572089683236257
PTK,0.0010572089683236257
EWR,0.0010372616292986516
MEV,0.0010372616292986516
SPG,0.0010372616292986516
PAE,0.0010372616292986516
SZP,0.0010173142902736776
BIL,0.0010173142902736776
FCM,0.0010173142902736776
ISM,0.0009973669512487035
TOA,0.0009973669512487035
SQL,0.0009973669512487035
4SD,0.0009973669512487035
DPA,0.0009973669512487035
FTG,0.0009973669512487035
VRB,0.0009774196122237294
PHX,0.0009774196122237294
LVK,0.0009774196122237294
CRG,0.0009774196122237294
SMO,0.0009774196122237294
DXR,0.0009574722731987553
COS,0.0009574722731987553
CDW,0.0009574722731987553
CCR,0.0009574722731987553
TVL,0.0009375249341737812
SGJ,0.0009375249341737812
LHD,0.0009375249341737812
SFB,0.0009375249341737812
GXY,0.0009175775951488071
SAF,0.0009175775951488071
HWD,0.0009175775951488071
BOI,0.0009175775951488071
LGA,0.0009175775951488071
GEU,0.000897630256123833
HIO,0.000897630256123833
FPR,0.000897630256123833
DTW,0.000897630256123833
48V,0.0008776829170988591
SBA,0.0008776829170988591
BNA,0.0008776829170988591
RVS,0.000857735578073885
PIE,0.000857735578073885
BLM,0.000857735578073885
FNL,0.000857735578073885
4AC,0.000857735578073885
AWO,0.0008377882390489109
GCN,0.0008377882390489109
2V2,0.0008377882390489109
CLT,0.0008377882390489109
TEB,0.0008178409000239368
Z41,0.0008178409000239368
COI,0.0008178409000239368
ADS,0.0007978935609989627
FMY,0.0007978935609989627
MEM,0.0007978935609989627
OAK,0.0007978935609989627
AVX,0.0007978935609989627
HOU,0.0007978935609989627
MDW,0.0007978935609989627
SAT,0.0007779462219739886
HPN,0.0007779462219739886
FTW,0.0007779462219739886
WJF,0.0007779462219739886
CCB,0.0007779462219739886
SBP,0.0007779462219739886
X47,0.0007579988829490146
STL,0.0007579988829490146
GIF,0.0007579988829490146
CPS,0.0007579988829490146
VNC,0.0007579988829490146
AGC,0.0007579988829490146
HNL,0.0007579988829490146
IAD,0.0007579988829490146
4N1,0.0007380515439240406
MKC,0.0007380515439240406
AEG,0.0007380515439240406
ELP,0.0007380515439240406
CRE,0.0007380515439240406
FDK,0.0007380515439240406
SRQ,0.0007380515439240406
PBI,0.0007380515439240406
CRQ,0.0007380515439240406
OJC,0.0007380515439240406
L26,0.0007181042048990665
