Longitude,proportion
0112457W,0.000698222442032991
1114342W,0.0005236668315247433
1151140W,0.0004945742297733686
-104.673056,0.0004945742297733686
1114840W,0.000465481628021994
-112.0825,0.000465481628021994
-111.728334,0.0004363890262706194
-117.139444,0.0004363890262706194
0010572W,0.0004363890262706194
-149.996389,0.00040729642451924476
1195235W,0.00040729642451924476
0122932W,0.00037820382276787013
-149.844444,0.00037820382276787013
-111.811111,0.00037820382276787013
0883325W,0.0003491112210164955
1165821W,0.0003491112210164955
-80.170556,0.0003491112210164955
-116.9725,0.0003491112210164955
0084187W,0.0003491112210164955
-82.018611,0.0003491112210164955
0953310W,0.0003491112210164955
1175847W,0.0003491112210164955
0105041W,0.0003491112210164955
1045058W,0.0003200186192651209
0812023W,0.0003200186192651209
-73.8725,0.0003200186192651209
-88.556944,0.0003200186192651209
1214911W,0.0003200186192651209
-111.716667,0.0003200186192651209
0011598W,0.0003200186192651209
1163123W,0.00029092601751374626
0117822W,0.00029092601751374626
-110.941111,0.00029092601751374626
1114718W,0.00029092601751374626
1115934W,0.00029092601751374626
0080260W,0.00029092601751374626
-106.609167,0.00029092601751374626
0775135W,0.00029092601751374626
-104.666945,0.00029092601751374626
0116389W,0.00029092601751374626
0080511W,0.00026183341576237163
1111028W,0.00026183341576237163
-121.820278,0.00026183341576237163
0120822W,0.00026183341576237163
0741852W,0.00026183341576237163
-118.413611,0.00026183341576237163
0011584W,0.00026183341576237163
0734227W,0.00026183341576237163
-149.965278,0.00026183341576237163
1223441W,0.00026183341576237163
0081329W,0.00026183341576237163
0090397W,0.00026183341576237163
1495040W,0.000232740814010997
1115840W,0.000232740814010997
-82.440277,0.000232740814010997
0965011W,0.000232740814010997
-105.116667,0.000232740814010997
-74.346666,0.000232740814010997
-80.085,0.000232740814010997
0081146W,0.000232740814010997
-118.151667,0.000232740814010997
1221458W,0.000232740814010997
-112.419445,0.000232740814010997
-111.788611,0.000232740814010997
0111136W,0.000232740814010997
0801427W,0.000232740814010997
0119454W,0.000232740814010997
0971026W,0.000232740814010997
1112654W,0.000232740814010997
1475123W,0.000232740814010997
-71.005,0.000232740814010997
1214913W,0.000232740814010997
0805656W,0.000232740814010997
1044023W,0.000232740814010997
-81.058056,0.000232740814010997
0087025W,0.000232740814010997
-111.174445,0.000232740814010997
0814512W,0.000232740814010997
1194357W,0.000232740814010997
0112259W,0.000232740814010997
0761947W,0.000232740814010997
-81.046666,0.000232740814010997
1121743W,0.000232740814010997
-115.196111,0.00020364821225962238
0801320W,0.00020364821225962238
1202452W,0.00020364821225962238
0741653W,0.00020364821225962238
0804757W,0.00020364821225962238
-119.094444,0.00020364821225962238
-87.958889,0.00020364821225962238
-98.471111,0.00020364821225962238
0122654W,0.00020364821225962238
-85.663611,0.00020364821225962238
-149.540277,0.00020364821225962238
0971356W,0.00020364821225962238
0075156W,0.00020364821225962238
1112021W,0.00020364821225962238
-119.751111,0.00020364821225962238
0150537W,0.00020364821225962238
-108.526667,0.00020364821225962238
-95.552778,0.00020364821225962238
0149519W,0.00020364821225962238
1221714W,0.00020364821225962238
59652314,0.00020364821225962238
-112.295277,0.00020364821225962238
1113920W,0.00020364821225962238
-119.876111,0.00020364821225962238
1171648W,0.00020364821225962238
-82.35,0.00020364821225962238
1114325W,0.00020364821225962238
0105253W,0.00020364821225962238
-84.459444,0.00020364821225962238
0982816W,0.00020364821225962238
0842541W,0.00020364821225962238
0118137W,0.00020364821225962238
1114818W,0.00020364821225962238
-104.849444,0.00020364821225962238
-74.060833,0.00020364821225962238
0823737W,0.00020364821225962238
0114526W,0.00020364821225962238
-81.2375,0.00020364821225962238
-121.819723,0.00020364821225962238
0121121W,0.00020364821225962238
1173811W,0.00020364821225962238
0072521W,0.00020364821225962238
-82.019723,0.00020364821225962238
0010503W,0.00020364821225962238
0801426W,0.00020364821225962238
0080544W,0.00020364821225962238
1165122W,0.00020364821225962238
-87.904722,0.00020364821225962238
-112.419723,0.00020364821225962238
0801015W,0.00020364821225962238
1045057W,0.00020364821225962238
-87.901389,0.00020364821225962238
0944415W,0.00020364821225962238
-98.042222,0.00020364821225962238
1043411W,0.00020364821225962238
0812613W,0.00020364821225962238
-111.992777,0.00020364821225962238
1094517W,0.00020364821225962238
1063633W,0.00020364821225962238
-111.766945,0.00020364821225962238
-82.533056,0.00017455561050824775
0853949W,0.00017455561050824775
0104422W,0.00017455561050824775
1221736W,0.00017455561050824775
0122132W,0.00017455561050824775
-113.938055,0.00017455561050824775
0080417W,0.00017455561050824775
1164910W,0.00017455561050824775
-117.636666,0.00017455561050824775
-85.682778,0.00017455561050824775
-104.85,0.00017455561050824775
1182448W,0.00017455561050824775
-73.413333,0.00017455561050824775
0119457W,0.00017455561050824775
0784326W,0.00017455561050824775
-115.152222,0.00017455561050824775
0983943W,0.00017455561050824775
1495819W,0.00017455561050824775
-93.457222,0.00017455561050824775
-77.374167,0.00017455561050824775
0822030W,0.00017455561050824775
0835225W,0.00017455561050824775
0984140W,0.00017455561050824775
-106.377778,0.00017455561050824775
0822720W,0.00017455561050824775
0090918W,0.00017455561050824775
-116.915,0.00017455561050824775
-104.569723,0.00017455561050824775
-115.195833,0.00017455561050824775
0874018W,0.00017455561050824775
0815927W,0.00017455561050824775
1174654W,0.00017455561050824775
0822043W,0.00017455561050824775
0089157W,0.00017455561050824775
1121742W,0.00017455561050824775
-87.896666,0.00017455561050824775
-116.966667,0.00017455561050824775
-104.849166,0.00017455561050824775
0761914W,0.00017455561050824775
0104347W,0.00017455561050824775
1224838W,0.00017455561050824775
0071314W,0.00017455561050824775
1493030W,0.00017455561050824775
0832112W,0.00017455561050824775
0105949W,0.00017455561050824775
0812328W,0.00017455561050824775
1223215W,0.00017455561050824775
-84.301944,0.00017455561050824775
-81.044444,0.00017455561050824775
0772228W,0.00017455561050824775
-71.123334,0.00017455561050824775
1222518W,0.00017455561050824775
-86.471389,0.00017455561050824775
0122187W,0.00017455561050824775
0104423W,0.00017455561050824775
0723021W,0.00017455561050824775
0111409W,0.00017455561050824775
1043412W,0.00017455561050824775
-112.421667,0.00017455561050824775
0114732W,0.00017455561050824775
0802558W,0.00017455561050824775
1182924W,0.00017455561050824775
-95.414444,0.00017455561050824775
0802944W,0.00017455561050824775
1064743W,0.00017455561050824775
-114.861111,0.00017455561050824775
0073533W,0.00017455561050824775
-81.990555,0.00017455561050824775
0822625W,0.00017455561050824775
-147.856389,0.00017455561050824775
0813052W,0.00017455561050824775
-74.168611,0.00017455561050824775
0803113W,0.00017455561050824775
-94.890277,0.00017455561050824775
0972442W,0.00017455561050824775
0008100W,0.00017455561050824775
-105.117223,0.00017455561050824775
