Broad.phase.of.flight,proportion
Landing,0.2499513965394336
Takeoff,0.2024010109519798
Cruise,0.16636964551876093
Maneuvering,0.13194219428423304
Approach,0.10605275095586805
Climb,0.032953146264014
Taxi,0.03172185859633206
Descent,0.030571576696260774
Go-around,0.02192016071544294
Standing,0.015310090078413583
Unknown,0.008878232130127665
Other,0.0019279372691335622
