Accident.Number,proportion
LAX82FJA04,1.1249985937517579e-05
LAX82FA072,1.1249985937517579e-05
SEA82FYM09,1.1249985937517579e-05
SEA82DA027,1.1249985937517579e-05
NYC82DA033,1.1249985937517579e-05
NYC82DA031,1.1249985937517579e-05
MKC82DA029,1.1249985937517579e-05
MKC82DA028,1.1249985937517579e-05
FTW82DA056,1.1249985937517579e-05
CHI82DA041,1.1249985937517579e-05
CHI82DA040,1.1249985937517579e-05
CHI82DA038,1.1249985937517579e-05
LAX82FA070,1.1249985937517579e-05
ATL82DA049,1.1249985937517579e-05
FTW82FQD09,1.1249985937517579e-05
CHI82DEE13,1.1249985937517579e-05
CHI82DA043,1.1249985937517579e-05
CHI82DA042,1.1249985937517579e-05
ATL82FKW04,1.1249985937517579e-05
ATL82DA050,1.1249985937517579e-05
ATL82DA048,1.1249985937517579e-05
LAX82DA068,1.1249985937517579e-05
FTW82FRG22,1.1249985937517579e-05
ATL82IA051,1.1249985937517579e-05
LAX82DA066,1.1249985937517579e-05
CHI82DA044,1.1249985937517579e-05
ATL82FID06,1.1249985937517579e-05
ANC82DA018,1.1249985937517579e-05
MIA82FLD16,1.1249985937517579e-05
LAX82FA069,1.1249985937517579e-05
NYC82DA032,1.1249985937517579e-05
DEN82DA030,1.1249985937517579e-05
ATL82FA052,1.1249985937517579e-05
CHI82DA045,1.1249985937517579e-05
MIA82FA045,1.1249985937517579e-05
LAX82DVA12,1.1249985937517579e-05
MKC82DA030,1.1249985937517579e-05
FTW82FRA16,1.1249985937517579e-05
NYC82IA036,1.1249985937517579e-05
CHI82FEG02,1.1249985937517579e-05
MIA82DA046,1.1249985937517579e-05
CHI82DA054,1.1249985937517579e-05
LAX82FA078,1.1249985937517579e-05
LAX82FA074,1.1249985937517579e-05
LAX82FA073,1.1249985937517579e-05
LAX82FA071,1.1249985937517579e-05
MKC82DA037,1.1249985937517579e-05
MKC82DA034,1.1249985937517579e-05
MIA82DA048,1.1249985937517579e-05
FTW82DA057,1.1249985937517579e-05
DEN82DA036,1.1249985937517579e-05
CHI82DA046,1.1249985937517579e-05
NYC82FNC04,1.1249985937517579e-05
LAX82FXQ04,1.1249985937517579e-05
LAX82DUG06,1.1249985937517579e-05
FTW82DA058,1.1249985937517579e-05
NYC82DA034,1.1249985937517579e-05
MKC82DA031,1.1249985937517579e-05
MIA82DA057,1.1249985937517579e-05
CHI82DA055,1.1249985937517579e-05
CHI82DA053,1.1249985937517579e-05
CHI82DA049,1.1249985937517579e-05
ATL82FLJ04,1.1249985937517579e-05
ATL82DA056,1.1249985937517579e-05
LAX82IA075,1.1249985937517579e-05
FTW82DA059,1.1249985937517579e-05
CHI82FA048,1.1249985937517579e-05
NYC82DA035,1.1249985937517579e-05
MKC82DA033,1.1249985937517579e-05
MKC82DA032,1.1249985937517579e-05
CHI82DA052,1.1249985937517579e-05
CHI82DA051,1.1249985937517579e-05
CHI82DA047,1.1249985937517579e-05
ATL82FA054,1.1249985937517579e-05
ATL82DLJ05,1.1249985937517579e-05
ATL82DA053,1.1249985937517579e-05
CHI82DA050,1.1249985937517579e-05
MIA82DA047,1.1249985937517579e-05
ATL82FA055,1.1249985937517579e-05
CHI82DA057,1.1249985937517579e-05
DCA82AA015,1.1249985937517579e-05
MIA82DA065,1.1249985937517579e-05
LAX82DA076,1.1249985937517579e-05
FTW82FQA13,1.1249985937517579e-05
FTW82DA060,1.1249985937517579e-05
DEN82DA035,1.1249985937517579e-05
DEN82DA033,1.1249985937517579e-05
DEN82DA032,1.1249985937517579e-05
MIA82FA051,1.1249985937517579e-05
DEN82FA034,1.1249985937517579e-05
SEA82IA029,1.1249985937517579e-05
DEN82FTM09,1.1249985937517579e-05
ATL82FA057,1.1249985937517579e-05
NYC82DA037,1.1249985937517579e-05
MIA82DA052,1.1249985937517579e-05
FTW82IA062,1.1249985937517579e-05
NYC82DA039,1.1249985937517579e-05
LAX82FUJ28,1.1249985937517579e-05
LAX82FUA11,1.1249985937517579e-05
FTW82DA061,1.1249985937517579e-05
CHI82DA069,1.1249985937517579e-05
CHI82DA060,1.1249985937517579e-05
CHI82DA058,1.1249985937517579e-05
MIA82DA055,1.1249985937517579e-05
LAX82FA077,1.1249985937517579e-05
CHI82FA059,1.1249985937517579e-05
LAX82FVM12,1.1249985937517579e-05
LAX82DA082,1.1249985937517579e-05
FTW82FQA14,1.1249985937517579e-05
FTW82FPD09,1.1249985937517579e-05
MKC82DA039,1.1249985937517579e-05
MIA82DA054,1.1249985937517579e-05
LAX82DA081,1.1249985937517579e-05
FTW82DA065,1.1249985937517579e-05
FTW82DA063,1.1249985937517579e-05
CHI82DA062,1.1249985937517579e-05
CHI82DA061,1.1249985937517579e-05
ANC82DA020,1.1249985937517579e-05
MKC82DCJ01,1.1249985937517579e-05
LAX82FUA10,1.1249985937517579e-05
LAX82FA084,1.1249985937517579e-05
DCA82AA016,1.1249985937517579e-05
MKC82DA038,1.1249985937517579e-05
MKC82DA036,1.1249985937517579e-05
MKC82DA035,1.1249985937517579e-05
LAX82FA080,1.1249985937517579e-05
LAX82DA083,1.1249985937517579e-05
FTW82FRJ08,1.1249985937517579e-05
CHI82DA067,1.1249985937517579e-05
CHI82DA066,1.1249985937517579e-05
CHI82DA064,1.1249985937517579e-05
CHI82DA063,1.1249985937517579e-05
SEA82FYK08,1.1249985937517579e-05
DEN82FA062,1.1249985937517579e-05
NYC82DA049,1.1249985937517579e-05
FTW82DA067,1.1249985937517579e-05
FTW82DA066,1.1249985937517579e-05
FTW82DA064,1.1249985937517579e-05
CHI82DA065,1.1249985937517579e-05
MIA82DA056,1.1249985937517579e-05
CHI82DA068,1.1249985937517579e-05
LAX82DVD10,1.1249985937517579e-05
FTW82FQA15,1.1249985937517579e-05
MKC82DA041,1.1249985937517579e-05
FTW82DA068,1.1249985937517579e-05
CHI82DA070,1.1249985937517579e-05
MIA82DA077,1.1249985937517579e-05
LAX82FUJ31,1.1249985937517579e-05
LAX82FA085,1.1249985937517579e-05
FTW82FA069,1.1249985937517579e-05
FTW82DA070,1.1249985937517579e-05
CHI82IA072,1.1249985937517579e-05
SEA82FYM10,1.1249985937517579e-05
NYC82DA040,1.1249985937517579e-05
CHI82DA071,1.1249985937517579e-05
ATL82DA058,1.1249985937517579e-05
ATL82FA059,1.1249985937517579e-05
SEA82DA030,1.1249985937517579e-05
FTW82DA080,1.1249985937517579e-05
CHI82DA075,1.1249985937517579e-05
FTW82FRG25,1.1249985937517579e-05
FTW82FPA11,1.1249985937517579e-05
FTW82FA071,1.1249985937517579e-05
ATL82IA060,1.1249985937517579e-05
MKC82DA040,1.1249985937517579e-05
CHI82DA073,1.1249985937517579e-05
ANC82DA021,1.1249985937517579e-05
LAX82FUJ29,1.1249985937517579e-05
MIA82DA058,1.1249985937517579e-05
LAX82IA086,1.1249985937517579e-05
LAX82FVA13,1.1249985937517579e-05
NYC82FA041,1.1249985937517579e-05
NYC82DA030,1.1249985937517579e-05
MIA82DA060,1.1249985937517579e-05
MIA82DA059,1.1249985937517579e-05
LAX82FVG18,1.1249985937517579e-05
FTW82DA072,1.1249985937517579e-05
CHI82DA076,1.1249985937517579e-05
CHI82DA074,1.1249985937517579e-05
LAX82FA088,1.1249985937517579e-05
LAX82DA089,1.1249985937517579e-05
ATL82FA066,1.1249985937517579e-05
SEA82DA031,1.1249985937517579e-05
MIA82DA061,1.1249985937517579e-05
LAX82DA090,1.1249985937517579e-05
LAX82DA087,1.1249985937517579e-05
FTW82DPM10,1.1249985937517579e-05
FTW82DA082,1.1249985937517579e-05
FTW82DA077,1.1249985937517579e-05
FTW82DA073,1.1249985937517579e-05
ATL82DA062,1.1249985937517579e-05
ATL82DA061,1.1249985937517579e-05
LAX82DA112,1.1249985937517579e-05
FTW82DA115,1.1249985937517579e-05
FTW82DA078,1.1249985937517579e-05
FTW82DA074,1.1249985937517579e-05
DEN82DA037,1.1249985937517579e-05
FTW82DA079,1.1249985937517579e-05
NYC82FGT08,1.1249985937517579e-05
MKC82FCG17,1.1249985937517579e-05
NYC82DFJ11,1.1249985937517579e-05
NYC82DA044,1.1249985937517579e-05
LAX82FUA12,1.1249985937517579e-05
LAX82DA092,1.1249985937517579e-05
ATL82DA064,1.1249985937517579e-05
ATL82DA063,1.1249985937517579e-05
ANC82DA023,1.1249985937517579e-05
FTW82DA075,1.1249985937517579e-05
MIA82DA062,1.1249985937517579e-05
FTW82DA076,1.1249985937517579e-05
NYC82DA042,1.1249985937517579e-05
FTW82DA081,1.1249985937517579e-05
ANC82DA022,1.1249985937517579e-05
FTW82DA087,1.1249985937517579e-05
LAX82DA091,1.1249985937517579e-05
FTW82FQG15,1.1249985937517579e-05
DEN82FA038,1.1249985937517579e-05
MIA82DA081,1.1249985937517579e-05
MIA82DA063,1.1249985937517579e-05
DEN82FA039,1.1249985937517579e-05
CHI82DA078,1.1249985937517579e-05
CHI82DA077,1.1249985937517579e-05
FTW82FRJ09,1.1249985937517579e-05
NYC82DA043,1.1249985937517579e-05
LAX82DA093,1.1249985937517579e-05
FTW82DA083,1.1249985937517579e-05
CHI82DA083,1.1249985937517579e-05
ATL82DA081,1.1249985937517579e-05
ANC82DA024,1.1249985937517579e-05
MIA82FA064,1.1249985937517579e-05
LAX82DA094,1.1249985937517579e-05
DEN82FTE17,1.1249985937517579e-05
SEA82DA035,1.1249985937517579e-05
NYC82DA045,1.1249985937517579e-05
LAX82DA097B,1.1249985937517579e-05
LAX82DA097A,1.1249985937517579e-05
LAX82DA095,1.1249985937517579e-05
CHI82DA089,1.1249985937517579e-05
ATL82FA065,1.1249985937517579e-05
LAX82DA099,1.1249985937517579e-05
SEA82DA034,1.1249985937517579e-05
FTW82DA085,1.1249985937517579e-05
CHI82DA079,1.1249985937517579e-05
SEA82DA033,1.1249985937517579e-05
LAX82DA096,1.1249985937517579e-05
FTW82DA097,1.1249985937517579e-05
ATL82FKW05,1.1249985937517579e-05
DEN82DA040,1.1249985937517579e-05
SEA82FYM11,1.1249985937517579e-05
NYC82DA046,1.1249985937517579e-05
MKC82IA042,1.1249985937517579e-05
MIA82IA066,1.1249985937517579e-05
LAX82FUQ10,1.1249985937517579e-05
DEN82FTI11,1.1249985937517579e-05
FTW82DA086,1.1249985937517579e-05
CHI82DA080,1.1249985937517579e-05
ATL82DA067,1.1249985937517579e-05
FTW82FRG24,1.1249985937517579e-05
CHI82DA081,1.1249985937517579e-05
CHI82IA082,1.1249985937517579e-05
NYC82DA047,1.1249985937517579e-05
LAX82DA102,1.1249985937517579e-05
LAX82DA101,1.1249985937517579e-05
LAX82DA100,1.1249985937517579e-05
FTW82DA088,1.1249985937517579e-05
ATL82FKG09,1.1249985937517579e-05
LAX82IA103,1.1249985937517579e-05
FTW82FPM11,1.1249985937517579e-05
FTW82DA089,1.1249985937517579e-05
NYC82FNA11,1.1249985937517579e-05
NYC82DA048,1.1249985937517579e-05
MKC82DA043,1.1249985937517579e-05
LAX82FUJ33,1.1249985937517579e-05
FTW82DA084,1.1249985937517579e-05
ANC82DA025,1.1249985937517579e-05
DEN82DA041,1.1249985937517579e-05
NYC82IA051,1.1249985937517579e-05
NYC82FA050,1.1249985937517579e-05
FTW82FA090,1.1249985937517579e-05
ATL82DKW06B,1.1249985937517579e-05
MIA82DA067,1.1249985937517579e-05
LAX82DA104,1.1249985937517579e-05
CHI82DA095,1.1249985937517579e-05
ATL82DKW06A,1.1249985937517579e-05
NYC82FA053,1.1249985937517579e-05
NYC82DA052,1.1249985937517579e-05
SEA82DYM12,1.1249985937517579e-05
NYC82DA055,1.1249985937517579e-05
MIA82DA073,1.1249985937517579e-05
MIA82DA070,1.1249985937517579e-05
LAX82FUG07,1.1249985937517579e-05
LAX82DA105,1.1249985937517579e-05
FTW82DA125,1.1249985937517579e-05
FTW82DA091,1.1249985937517579e-05
DEN82DA043,1.1249985937517579e-05
DEN82DA042,1.1249985937517579e-05
NYC82FFJ12,1.1249985937517579e-05
MIA82FLD17,1.1249985937517579e-05
LAX82FUQ11,1.1249985937517579e-05
LAX82FUG08,1.1249985937517579e-05
LAX82DA107,1.1249985937517579e-05
LAX82AA106B,1.1249985937517579e-05
LAX82AA106A,1.1249985937517579e-05
CHI82DA085,1.1249985937517579e-05
SEA82DA036,1.1249985937517579e-05
NYC82DA038,1.1249985937517579e-05
