Aircraft.Category,proportion
Airplane,0.8553597423111469
Helicopter,0.106544429646607
Glider,0.015733886703626847
Balloon,0.007154582339641342
Gyrocraft,0.005358193700250875
Weight-Shift,0.004986527085204572
Powered Parachute,0.0028184718307678013
Ultralight,0.0009291665376157587
Unknown,0.00043361105088735404
WSFT,0.0002787499612847276
Powered-Lift,0.00015486108960262643
Blimp,0.00012388887168210115
UNK,6.194443584105058e-05
Rocket,3.097221792052529e-05
ULTR,3.097221792052529e-05
