Latitude,proportion
332739N,0.0005526147402710721
335219N,0.0005235297539410156
32.815556,0.0004944447676109592
334118N,0.0004944447676109592
324934N,0.0004653597812809028
039405N,0.0004653597812809028
34.654444,0.00043627479495084637
335232N,0.0004071898086207899
391132N,0.0004071898086207899
61.174445,0.0004071898086207899
393412N,0.0004071898086207899
33.688333,0.00037810482229073353
61.213611,0.00037810482229073353
26.197222,0.00037810482229073353
33.269167,0.00037810482229073353
044540N,0.00037810482229073353
32.826111,0.00037810482229073353
002604N,0.00037810482229073353
395432N,0.00037810482229073353
33.460833,0.00037810482229073353
27.988889,0.0003490198359606771
039253N,0.0003490198359606771
361238N,0.0003490198359606771
385835N,0.0003490198359606771
043594N,0.0003490198359606771
036448N,0.0003490198359606771
040277N,0.00031993484963062065
331828N,0.00031993484963062065
40.85,0.00031993484963062065
341249N,0.00031993484963062065
33.9425,0.00031993484963062065
433831N,0.00031993484963062065
40.777223,0.00031993484963062065
295733N,0.00029084986330056426
048939N,0.00029084986330056426
333137N,0.00029084986330056426
61.186944,0.00029084986330056426
403710N,0.00029084986330056426
34.848611,0.00029084986330056426
39.000278,0.00029084986330056426
433453N,0.00029084986330056426
39.861389,0.00029084986330056426
371958N,0.00029084986330056426
391912N,0.00029084986330056426
33.45,0.0002617648769705078
43.984444,0.0002617648769705078
033259N,0.0002617648769705078
41.978611,0.0002617648769705078
39.861667,0.0002617648769705078
033169N,0.0002617648769705078
261150N,0.0002617648769705078
383132N,0.0002617648769705078
032832N,0.0002617648769705078
341550N,0.0002617648769705078
334117N,0.0002617648769705078
27.495,0.0002617648769705078
27.9925,0.0002617648769705078
042651N,0.0002617648769705078
028346N,0.0002617648769705078
355822N,0.0002617648769705078
39.667223,0.0002617648769705078
37.693333,0.0002617648769705078
404718N,0.0002617648769705078
405651N,0.0002617648769705078
475650N,0.0002617648769705078
334812N,0.0002617648769705078
274554N,0.0002617648769705078
341235N,0.0002617648769705078
345055N,0.0002617648769705078
335841N,0.0002617648769705078
393413N,0.0002617648769705078
293022N,0.0002326798906404514
42.364167,0.0002326798906404514
040037N,0.0002326798906404514
61.2,0.0002326798906404514
32.954722,0.0002326798906404514
42.259722,0.0002326798906404514
33.622778,0.0002326798906404514
003586N,0.0002326798906404514
322434N,0.0002326798906404514
611257N,0.0002326798906404514
253851N,0.0002326798906404514
282825N,0.0002326798906404514
324857N,0.0002326798906404514
264059N,0.0002326798906404514
365534N,0.0002326798906404514
32.116111,0.0002326798906404514
39.570278,0.0002326798906404514
332723N,0.0002326798906404514
36.732223,0.0002326798906404514
395142N,0.0002326798906404514
021197N,0.0002326798906404514
043502N,0.0002326798906404514
611249N,0.0002326798906404514
28.102778,0.0002326798906404514
047614N,0.0002326798906404514
373043N,0.0002326798906404514
42.947222,0.0002326798906404514
034047N,0.0002326798906404514
030342N,0.00020359490431039496
39.908611,0.00020359490431039496
385626N,0.00020359490431039496
33.875556,0.00020359490431039496
265045N,0.00020359490431039496
39.57,0.00020359490431039496
282421N,0.00020359490431039496
003710N,0.00020359490431039496
374136N,0.00020359490431039496
34.259444,0.00020359490431039496
39.908333,0.00020359490431039496
29.506111,0.00020359490431039496
34.213889,0.00020359490431039496
315958N,0.00020359490431039496
414128N,0.00020359490431039496
003902N,0.00020359490431039496
42.114167,0.00020359490431039496
613454N,0.00020359490431039496
29.704444,0.00020359490431039496
33.974723,0.00020359490431039496
61.583333,0.00020359490431039496
335352N,0.00020359490431039496
36.211667,0.00020359490431039496
412714N,0.00020359490431039496
40.619445,0.00020359490431039496
384336N,0.00020359490431039496
30.4,0.00020359490431039496
35.9475,0.00020359490431039496
334842N,0.00020359490431039496
033263N,0.00020359490431039496
392836N,0.00020359490431039496
341534N,0.00020359490431039496
40.163611,0.00020359490431039496
39.4175,0.00020359490431039496
35.040277,0.00020359490431039496
002800N,0.00020359490431039496
26.1525,0.00020359490431039496
61.95,0.00020359490431039496
404919N,0.00020359490431039496
004141N,0.00020359490431039496
26.433056,0.00020359490431039496
033168N,0.00020359490431039496
384327N,0.00020359490431039496
413056N,0.00020359490431039496
335814N,0.00020359490431039496
37.332778,0.00020359490431039496
385644N,0.00020359490431039496
28.289722,0.00020359490431039496
292013N,0.00020359490431039496
29.336944,0.00020359490431039496
048938N,0.00020359490431039496
38.586944,0.00020359490431039496
037386N,0.00020359490431039496
035225N,0.00020359490431039496
36.2125,0.00020359490431039496
361239N,0.00020359490431039496
383413N,0.00020359490431039496
43.581389,0.00020359490431039496
040276N,0.00020359490431039496
035825N,0.00020359490431039496
26.744166,0.00020359490431039496
372740N,0.00020359490431039496
335829N,0.00020359490431039496
282030N,0.00020359490431039496
039544N,0.00020359490431039496
405231N,0.00020359490431039496
33.817778,0.00020359490431039496
465459N,0.00020359490431039496
039281N,0.00020359490431039496
293720N,0.00017450991798033855
331040N,0.00017450991798033855
34.265556,0.00017450991798033855
35,0.00017450991798033855
473148N,0.00017450991798033855
61.571667,0.00017450991798033855
026558N,0.00017450991798033855
64.8,0.00017450991798033855
40.9475,0.00017450991798033855
385338N,0.00017450991798033855
