Model,proportion
PA-46-310P,0.0009685011881032017
747,0.0009572395463810714
310Q,0.0009572395463810714
PA-28R-201T,0.0009572395463810714
180J,0.0009459779046589412
U206F,0.0009459779046589412
PA-28R-201,0.0009234546212146807
182J,0.0009234546212146807
RV-6A,0.0009121929794925505
11AC,0.0009121929794925505
LA-4-200,0.0009009313377704201
8E,0.0009009313377704201
7EC,0.0009009313377704201
PA-22-135,0.0008896696960482899
182C,0.0008896696960482899
TU206G,0.0008896696960482899
V35,0.0008896696960482899
182L,0.0008896696960482899
172D,0.0008896696960482899
182G,0.0008784080543261597
A36TC,0.0008558847708818991
PA-32RT-300T,0.0008558847708818991
T210,0.0008558847708818991
RV-6,0.0008446231291597689
182E,0.0008446231291597689
AT-401,0.0008446231291597689
PA-46-350P,0.0008446231291597689
AT-502,0.0008446231291597689
PA-32-301,0.0008333614874376387
PA-32R-301,0.0008333614874376387
182N,0.0008333614874376387
PA-34-220T,0.0008333614874376387
R-22B,0.0008333614874376387
182M,0.0008333614874376387
AA-1B,0.0008220998457155084
182H,0.0008108382039933781
269B,0.0007995765622712479
PA-32RT-300,0.0007995765622712479
AT-502B,0.0007995765622712479
PA-28-160,0.0007883149205491176
SGS 2-33A,0.0007883149205491176
182K,0.0007883149205491176
J-3,0.0007883149205491176
58P,0.0007770532788269874
182F,0.0007770532788269874
PA-28RT-201T,0.0007770532788269874
AA-5,0.0007770532788269874
PA28R,0.0007770532788269874
172B,0.0007770532788269874
PA-23-160,0.0007770532788269874
A185E,0.0007657916371048572
A185,0.0007657916371048572
767,0.0007657916371048572
76,0.0007545299953827269
S35,0.0007545299953827269
150E,0.0007545299953827269
47G-3B-1,0.0007545299953827269
E18S,0.0007432683536605966
UH-1H,0.0007432683536605966
PA-28RT-201,0.0007432683536605966
A-1,0.0007432683536605966
C24R,0.0007432683536605966
PA-28-236,0.0007432683536605966
172A,0.0007320067119384664
M-5-235C,0.0007207450702163362
210M,0.0007207450702163362
369,0.0007207450702163362
