Air.carrier,proportion
Casper Air Service,0.0002402691013935608
"Mesa Airlines, Inc.",0.0002402691013935608
Southwest Airlines Co.,0.0002402691013935608
American Trans Air,0.0002402691013935608
Simmons,0.0002402691013935608
West Isle Air,0.0002402691013935608
Frontier Flying Service,0.0002402691013935608
Atlas Air,0.0002402691013935608
(dba: Camai Air),0.0002402691013935608
(dba: Delta Airlines),0.0002402691013935608
(dba: Us Airways Express),0.0002402691013935608
Emery Worldwide Airlines,0.0002402691013935608
"Republic Airlines, Inc.",0.0002402691013935608
Us Aviation Group Llc,0.0002402691013935608
Paklook Air Inc,0.0002402691013935608
"Frontier Airlines, Inc.",0.0002402691013935608
"Northwest Airlines, Inc",0.0002402691013935608
MESA AIRLINES INC,0.0002402691013935608
UND AEROSPACE FOUNDATION,0.0002402691013935608
PENINSULA AIRWAYS INC,0.0002402691013935608
QANTAS AIRWAYS LIMITED,0.0002402691013935608
AeroGuard Flight Training Center,0.0002402691013935608
MF HELICOPTERS LLC,0.0002402691013935608
Saudi Arabian Airlines,0.0002402691013935608
Korean Airlines,0.0002402691013935608
"Dean International, Inc.",0.0002402691013935608
All Nippon Airways,0.0002402691013935608
BRITISH AIRWAYS,0.0002402691013935608
"Ameriflight, LLC",0.0002402691013935608
COPPER VALLEY AIR SERVICE LLC,0.0002402691013935608
Ethiopian Airlines,0.0002402691013935608
WRIGHT AIR SERVICE INC,0.0002402691013935608
Trans World Airlines (dba: Twa),0.0002402691013935608
"Bering Air, Inc.",0.0002402691013935608
REGISTRATION PENDING,0.0002402691013935608
SKY SAILING INC,0.0002402691013935608
Malaysia Airlines,0.0002402691013935608
Western Air Flight Academy,0.0002402691013935608
"Rotorcraft Leasing Company, LLC",0.0002402691013935608
ROTORCRAFT LEASING CO LLC,0.0002402691013935608
STATE OF ALASKA,0.0002402691013935608
JETBLUE AIRWAYS CORP,0.0002402691013935608
"Executive Air Charter, Inc. (dba: American Eagle)",0.0002402691013935608
Plus One Flyers,0.0002402691013935608
RUSTYS FLYING SERVICE,0.0002402691013935608
SANTA MONICA FLYERS INC,0.0002402691013935608
Petroleum Helicopters Inc.,0.0002402691013935608
DELTA AIRLINES INC,0.0002402691013935608
CALIFORNIA HIGHWAY PATROL,0.0002402691013935608
EXPRESSJET AIRLINES INC,0.0002402691013935608
