latitude,longitude
,
394440N,0841155W
042244N,0904220W
413513N,0754513W
,
441529N,0088318W
411843N,1054030W
018286N,0066267W
452656N,0982518W
,
292821N,0081345W
334813N,1182038W
385813N,0755159W
475417N,0012269W
033300N,0112100W
029573N,0096220W
271535N,0080511W
,
035367N,0974222W
432819N,0702740W
372824N,0080611W
031155N,0090302W
341249N,0119539W
039722N,0943534W
003625N,1141913W
464741N,0119447W
621914N,0150537W
422021N,0713019W
004195N,0812454W
,
613541N,0149519W
006425N,0145308W
423234N,0831040W
382742N,0821850W
332212N,0815752W
272950N,0802221W
003414N,0085828W
403821N,0734722W
373030N,0771945W
335348N,1173614W
444938N,0932730W
035550N,0097583W
039222N,0075420W
413637N,0903518W
046536N,0117437W
394612N,0093045W
274554N,0823737W
030353N,0874717W
234654S,0462026W
401629N,0792424W
034745N,1091839W
392412N,0122248W
030725N,0931323W
333427N,0117742W
385626N,0104347W
029255N,0092214W
034249N,0942358W
335026N,0009618W
301140N,0974011W
315924N,0102448W
,
040382N,1045916W
323035N,1111931W
341535N,1112128W
384220N,0764440W
391932N,0762450W
355336N,1435218E
351336N,0784752W
343141N,0077511W
342841N,0093546W
030015N,0090632W
331422N,0096423W
345420N,0090186W
455718N,0902527W
024338N,0061227W
451243N,0012543E
046299N,0000730E
,
363352N,0893453W
443514N,0965312W
,
038480N,0765211W
391938N,0853118W
312745N,1003720W
,
055440N,0162590W
334948N,1163024W
050500N,0125520W
302011N,0813052W
291019N,0821327W
035300N,0099270W
332156N,0084955W
039723N,0953517W
027578N,0081363W
352817N,0763827W
037651N,0791828W
042928N,0724257W
422740N,0071311W
028571N,0089239W
413031N,0724946W
039301N,1044538W
033228N,1165443W
402551N,1111122W
043244N,1164222W
030126N,0082111W
033482N,0112152W
483238N,0117532W
046248N,0118251W
003228S,0006032W
403823N,0734644W
415326N,0873712W
364558N,0804925W
404749N,0813116W
,
485537N,1031745W
047320N,0004220E
332723N,1114325W
315213N,0961914W
314826N,1062239W
033165N,1114824W
364122N,1064012W
030232N,0090142W
261513S,0505928W
443828N,0881255W
405733N,0721441W
039197N,0120813W
403715N,0079858W
344153N,0084046W
041420N,0734450W
033142N,1071438W
039402N,0744517W
391752N,0944250W
041423N,0844822W
044524N,1211248W
374139N,1214914W
255530N,0801539W
335633N,1182429W
042147N,0135657E
485410N,0012312E
,
413539N,0109355W
040816N,0964013W
034170N,0803353W
040220N,0079054W
405019N,0074337W
291055N,0991222W
323552N,0934818W
354429N,0785529W
391529N,0743616W
372027N,0884854W
041260N,0082398W
272930N,0802213W
292827N,0811945W
302147N,0952449W
385237N,0082514W
033134N,0096206W
271054N,0801316W
391646N,1031615W
034478N,0773918W
313527N,0831422W
002604N,0801426W
028285N,0082296W
431210N,0781519W
352352N,0844523W
333722N,1115438W
038718N,0119463W
039442N,1051442W
035225N,1063633W
006014N,0014414W
331728N,0974723W
047115N,0921349W
412326N,0742511W
395236N,0933826W
292659N,0963035W
,
335934N,0008235W
033289N,0090591W
046251N,1053813W
403612N,0794934W
441113N,0076435W
473445N,0963842W
323355N,0971829W
,
035552N,0090477W
412020N,0782229W
413947N,0792412W
040723N,0801834W
333812N,0842541W
038514N,1213430W
301130N,0088130W
,
333036N,0901125W
048939N,0122932W
301637N,0092910W
382034N,0089554W
373334N,0077023W
702832N,1574420W
028534N,0965019W
324422N,0110323W
411237N,0081156W
022101N,1593935W
,
395125N,1044014W
621914N,0150537W
613733N,1492015W
395037N,0855349W
374641N,0089157W
302824N,0098710W
,
034622N,0119751W
405653N,0805143W
043466N,0712312W
421025N,1084726W
385835N,0761946W
603423N,0151144W
003320S,0049150W
,
038316N,1201353W
463824N,0118334W
362511N,1051714W
331531N,0845040W
295910N,0954115W
665022N,1495015W
034214N,0098591W
041325N,0873146W
003710N,1101225W
391242N,0821345W
364110N,1013047W
393241N,1194641W
413549N,0742730W
040059N,0105315W
075534N,0724917W
421815N,0754713W
044148N,1094449W
004768N,0122178W
035825N,1064725W
345054N,1114718W
362153N,0813447W
,
,
046343N,1203223W
343528N,0831726W
351117N,0084913W
222544S,0475312W
371334N,0087923W
613541N,0149519W
038914N,0097177W
345032N,1114711W
383236N,0076149W
413014N,0074617W
,
381712N,1042928W
,
612453N,1493024W
613319N,1492022W
613220N,1493222W
423438N,0011488W
040424N,1225714W
303721N,0962113W
,
301244N,0854058W
027258N,0802316W
039442N,1195934W
,
614841N,1473033W
,
325846N,0971838W
385626N,0104247W
385626N,0104347W
431210N,0071308W
415935N,0086742W
411922N,0732313W
031215N,0098272W
344430N,0084216W
404324N,0114226W
038529N,1212133W
303552N,0843326W
413529N,0742718W
395449N,0842359W
432622N,0855942W
413427N,0925048W
422416N,0096236W
333145N,1121748W
343416N,1142130W
342628N,0822131W
415853N,0875424W
033160N,0111450W
421323N,0834444W
484734N,1223215W
282029N,0080417W
046813N,1235228W
048330N,0115546W
035550N,0115190W
361524N,0831143W
444011N,0931422W
035450N,0106109W
405454N,0812637W
421225N,0881923W
045343N,0932114W
039235N,0965035W
031659N,1002352W
033487N,1182013W
331150N,1042223W
355745N,0952030W
041912N,0104749W
433329N,0000623W
472026N,1184031W
034416N,0795322W
042576N,0875339W
,
342514N,0118315W
341537N,0803639W
422114N,0073388W
643044N,1652643W
323227N,0955134W
611048N,1495819W
284216N,0813433W
274110N,0804622W
442625N,0682121W
412019N,0723029W
024126N,0604831W
324313N,0901744W
433227N,0702238W
341213N,0845826W
002695N,0814619W
365534N,1112654W
033562N,0112580W
034445N,0079406W
040271N,0794639W
004550N,0118400W
,
413945N,0882152W
,
352540N,1192912W
372740N,0122654W
351152N,0114316W
014237N,0914618W
475650N,0971026W
475650N,0971026W
061568N,1513835W
035135N,0784747W
551219N,1624328W
422513N,0087523W
038320N,0824053W
354423N,0984431W
333734N,0835030W
613011N,1485628W
032597N,0973429W
343150N,0961238W
039178N,0763621W
029493N,0954013W
037186N,1083725W
644836N,1474313W
067550N,0015380W
,
345856N,0106018W
363511N,0822836W
464315N,1171050W
361148N,0813822W
323835N,0091497W
433032N,0011242W
475741N,0097243W
264132N,0803923W
361025N,0865321W
602243N,1521719W
613356N,0149515W
044280N,0093450W
443420N,0992330W
060483N,0161476W
342319N,0861611W
354755N,1151643W
342922N,1122511W
041520N,0734328W
039402N,1195234W
393119N,1112430W
392925N,0881035W
038480N,0082554W
422520N,0714720W
354143N,1193420W
405947N,0924556W
039046N,0912510W
445319N,0011667W
614050N,0157933W
341911N,0915028W
035448N,1183915W
045210N,0102111W
030289N,0945427W
434626N,0007264E
433831N,0116389W
040325N,1124550W
415813N,1221632W
333821N,0842541W
484821N,1083546W
033148N,1071611W
444611N,0122586W
041130N,0802450W
333115N,1114549W
037375N,1222316W
039552N,1213411W
315251N,1064217W
038181N,1212229W
382542N,0105622W
431233N,1122058W
384824N,0945722W
006264N,1453150W
026821S,0281446E
033530N,0801834W
030290N,0088180W
033113N,1153041W
352018N,0079268W
044469N,1065849W
483226N,1094023W
413226N,0096824W
302350N,0089340W
302859N,0863133W
051854N,0024250W
414710N,0087459W
036320N,0775518W
451817N,0851631W
036190N,1193739W
035825N,0111409W
034510N,0011825W
372740N,0122654W
047047N,0121326W
061235N,1515210W
401756N,0743116W
383910N,0077478W
039190N,0743758W
301926N,0078437E
472520N,0105341W
301211N,0091599W
401737N,0088833W
462113N,0872343W
412621N,0804131W
031187N,0862232W
334117N,0112457W
261449N,0080640W
017568N,0764715W
343031N,1092314W
471021N,1094017W
482859N,1135734W
612536N,1514651W
028346N,0814512W
043959N,0119293W
030935N,0973559W
035310N,0835617W
362511N,1051714W
041929N,0073720W
047821N,1191418W
032279N,0984058W
254743N,0801714W
504317N,0015216W
442346N,0082353E
413755N,0735234W
374122N,0121498W
046580N,0122540W
413449N,0088226W
402813N,0812512W
393333N,1094235W
040217N,0765943W
344736N,0893030W
,
032454N,0095276W
395510N,1045411W
043594N,0883325W
452427N,0091504W
423725N,0083587W
481245N,1063653W
005258N,1002129E
424128N,0073107W
033420N,0112370W
413718N,0753135W
323126N,0945811W
006760N,0157510W
343621N,0008274W
044229N,0891816W
353628N,0974226W
425355N,1062756W
405110N,0852725W
335620N,1182417W
365517N,1112629W
342719N,0845621W
036313N,0853130W
041035N,0922436W
294338N,0955359W
444038N,0971453W
036291N,0118539W
282731N,0961731W
292018N,0098512W
381142N,0105511W
375422N,0121407W
295838N,0984322W
301046N,0983527W
361313N,0924046W
001834N,0654752W
341934N,0119453W
303435N,0095711W
,
034400N,0117180W
031254N,1105052W
454243N,1222013W
375539N,1004327W
045378N,1223914W
424126N,0881816W
030367N,0097498W
040816N,0111402W
038149N,1202452W
293712N,0953914W
482417N,0114181W
395551N,0084048W
044526N,0087580W
415430N,0070440W
038300N,0873545W
332723N,1114325W
413353N,0832856W
441911N,0885512W
036354N,0795323W
036390N,0083130W
042119N,0073249W
401032N,1031319W
004040N,0741040W
043026N,0705515W
412420N,0074387W
044349N,0965356W
273032N,0815229W
381340N,0853949W
285743N,0814529W
037156N,1101726W
421823N,0085150W
351310N,1014221W
523229N,0194051W
036568N,1214723W
034814N,0915218W
045238N,0865525W
062580N,0150440W
391919N,0762429W
050508N,0001750E
374618N,0097628W
037309N,1074851W
048337N,0011404W
061293N,0149231W
625224N,0155395W
344416N,0119155W
603311N,1505020W
403752N,0803334W
030178N,0087329W
041742N,0742047W
344437N,0092126W
048724N,1213950W
424755N,0775033W
003946N,0121447W
037426N,0113633W
385459N,0084536W
322847N,0875653W
264059N,0080544W
029181N,0081629W
424830N,0775048W
384314N,1204517W
,
611238N,1495326W
603328N,1531821W
364651N,0090611W
002800N,0082947W
352135N,0107144W
,
301420N,0925022W
555511N,1592926W
423532N,1113432W
484429N,0069459W
,
043381N,1114056W
041435N,0744944W
060300N,0145300W
255426N,0801641W
,
481527N,1011640W
472031N,1201417W
484218N,1192622W
374727N,0107331W
385835N,0761947W
041568N,1045112W
341524N,1112021W
,
003560N,1103823W
444012N,0123211W
381829N,0076326W
028524N,0823426W
422112N,0071052W
,
273231N,0804959W
441032N,0012255W
043154N,0781011W
435036N,0076540W
451231N,0845923W
424624N,1231840W
034240N,0116188W
042362N,1114340W
037386N,0130415W
033222N,0815714W
,
064151N,1453513W
421051N,0841631W
444141N,0692256W
029321N,0982811W
333828N,0901734W
383213N,0076129W
355347N,0914937W
474032N,1171930W
485925N,0116307W
034346N,1173312W
,
402614N,1043759W
402655N,0088740W
391420N,0102174W
402211N,0743011W
,
365432N,1214026W
435928N,0705652W
374110N,0855530W
421535N,0842733W
047265N,0072473W
483229N,1225314W
371947N,1214613W
634651N,1483112W
041754N,0815249W
433029N,0011248W
035222N,0784444W
385623N,1043219W
,
483225N,1175319W
038499N,0921318W
402843N,0855357W
042185N,0851444W
412936N,0092853W
423933N,0832246W
461647N,0096337W
040255N,0107539W
315217N,0813342W
275613N,0080429W
032516N,0079434W
385816N,0755117W
405510N,0721715W
372619N,0865122W
334918N,1173416W
040177N,0088911W
045530N,0114120W
433013N,1141744W
423728N,0074121W
475327N,0012045W
473414N,1223746W
032135N,0084138W
042352N,0104910W
044336N,0069510W
004825N,0098564W
030474N,0983937W
405651N,0741852W
324911N,0972144W
045375N,1222218W
373546N,0932052W
435317N,0882716W
044034N,0088332W
603512N,1513848W
,
334822N,0902428W
413449N,0091113W
048108N,1031249W
058160N,0134320W
034127N,0098251W
,
,
395453N,0010573W
040851N,0853227W
373246N,0771253W
040420N,0091340W
039387N,0914359W
044275N,0832339W
435058N,0821824W
039256N,1054040W
465547N,0984042W
043650N,0893154W
043593N,0883325W
001860S,0125280E
,
,
415643N,0885526W
042189N,0752458W
352856N,0772116W
385645N,1043411W
404537N,1065754W
303330N,0092558W
271726N,0822033W
039395N,0761413W
441631N,0941115W
401829N,0100100W
,
414641N,0804144W
453257N,1222357W
444729N,1065713W
036032N,0833123W
264731N,0080427W
039492N,0834713W
393243N,0118105E
,
363052N,0112946W
621054N,1503024W
451259N,1223525W
323611N,0834617W
044246N,0891819W
424831N,0094328W
433737N,0091454W
432148N,0932721W
382721N,0821826W
323332N,0971817W
018914N,0654945W
415817N,0735146W
414533N,0883052W
,
,
035617N,0863235W
004877N,1194615W
035140N,0842715W
335952N,1092554W
452141N,1232111W
425510N,0891110W
435559N,1162952W
045380N,0122230W
345055N,1114719W
414812N,0107120W
027467N,0823741W
,
404659N,0091731W
043421N,0923638W
046056N,1023920W
423434N,0114816W
039159N,0119468W
385735N,0942217W
334518N,0117130W
041631N,0112416W
335219N,1175847W
392313N,0743726W
045100N,0105200W
433149N,0895921W
041167N,0914115W
,
563630N,0934510E
371919N,0089755W
047746N,0122321W
043145N,0933726W
006261N,1453146W
029446N,0883754W
452550N,1221431W
333716N,0096356W
424750N,0882221W
048435N,1183923W
385626N,0104347W
027451N,0813320W
421922N,0885011W
331019N,0861820W
335829N,1173811W
404318N,0732513W
361453N,1201418W
383856N,0774726W
035135N,1014213W
004192N,0863750W
036583N,0883354W
,
372816N,0097049W
334548N,0084246W
324632N,0098322W
291122N,0961614W
325437N,0080526W
040325N,0815644W
067571N,1481329W
415323N,0873715W
030233N,0103411W
030038N,0812439W
040113N,0105152W
032140N,0109530W
321721N,1065519W
324834N,0117813W
039846N,0086370W
441845N,0895416W
451436N,0983348W
475837N,1172552W
422350N,0961323W
040124N,0009840W
283721N,0080507W
325530N,0096264W
574435N,1523722W
473148N,0122187W
361723N,1195615W
424513N,0109915W
342015N,0083730W
385322N,0795125W
271310N,0815017W
038553N,0078157W
003700N,0120520W
414128N,0933359W
423213N,1134623W
322611N,0974828W
414931N,0935028W
481527N,1011640W
,
291224N,0993654W
385644N,1043411W
362516N,1004434W
030549N,0953454W
673518N,1484520W
395415N,0954646W
006367N,1565925W
046010N,1123934W
047817N,0117145W
040134N,0943217W
322432N,0984820W
036190S,0142150E
313034N,0106829W
595213N,1474716W
045440N,0107370W
355756N,0792230W
375452N,0083158W
373242N,0854359W
060222N,0143359W
364114N,0082159W
034165N,0884618W
345326N,0771537W
043381N,1105431W
036925N,0009752W
,
041839N,0104107W
434612N,1132041W
424730N,1094853W
333421N,0084551W
041259N,0075465W
032911N,0914155W
463442N,1065521W
064543N,1574123W
605621N,1455720W
611611N,1514735W
,
395914N,0753432W
464033N,1204229W
034367N,0783446W
045110N,0073578W
365812N,0765732W
413641N,0794515W
393933N,0074458W
442852N,0103479W
384317N,0773056W
074438N,0094557W
425428N,1062751W
444321N,0123113W
037329N,1205059W
433254N,1094124W
372935N,1123843W
323432N,0973516W
335443N,1165244W
039723N,0943534W
043519N,1163221W
028110S,0137400E
592036N,0155527W
042154N,0845720W
059241N,1583020W
444714N,0883336W
036332N,0011910W
042417N,1241714W
474143N,0114117W
473334N,1215149W
,
037470N,0122120W
421859N,0092170W
364414N,0893511W
003796N,0942953W
401647N,0083653W
365839S,0721951W
044538N,0701320W
483058N,1164913W
048158N,0122028W
,
063160N,0143400W
046111N,0983028W
047369N,0115814E
291011N,0821316W
040118N,0822749W
611619N,1514613W
405547N,0903752W
038278N,0901410W
,
431932N,0781246W
462055N,0098445W
392124N,0941751W
028268N,0081131W
472014N,0122613W
331852N,1163453W
454648N,0115550W
381247N,1221650W
474922N,0902426W
443925N,0123310W
435448N,0095634W
331827N,0865520W
,
385455N,0121218W
434849N,0011586W
060430N,0143617W
050355N,0915547W
422053N,0832723W
433014N,1141744W
034033N,1182734W
042145N,0893524W
412655N,0903027W
423630N,0082508W
102054N,0791415W
035594N,0854819W
034293N,0093427W
344314N,0962517W
355418N,0902012W
041532N,1215829W
047335N,1224218W
404024N,0803829W
004244N,0701328W
001500S,0166400E
039421N,0934039W
412714N,0087025W
471147N,0122119W
375547N,0121324W
303158N,0091859W
385950N,1225449W
403511N,1193548W
402916N,1112015W
045253N,1234842W
603620N,1643555W
069150N,0147130W
625710N,1553625W
644614N,0147201W
433831N,0116388W
405226N,0097629W
611112N,1495755W
064277N,1473329W
611249N,1495040W
275422N,0082418W
035219N,0895822W
003784N,0112289W
,
005960N,0001550E
003545N,0118261W
035352N,1182525W
374518N,0089040W
343428N,0118137W
040313N,0106228W
049586N,0009423E
515359N,0001330E
037023N,1123131W
026025N,0801438W
412636N,1064939W
404011N,1112417W
445659N,0009440W
004595N,1145932W
473036N,0094568W
424425N,0875220W
024520S,0011930E
285842N,0993347W
452120N,0754438W
,
384110N,0752118W
471925N,0124749E
401459N,0834459W
034441N,0763938W
484622N,1085847W
334117N,0112457W
644410N,1565614W
413725N,0985653W
039106N,0077957W
452626N,0092331W
371534N,0965738W
614440N,1532113W
053230N,1673830W
291716N,0954429W
443738N,1221528W
042242N,0875057W
403141N,0086332W
341555N,0110020W
046542N,0095423W
324934N,1165820W
343916N,1122510W
045736N,0873818W
453959N,1182254W
002100N,0127150E
003456N,0117846W
030610N,0852830W
044123N,1145849W
254638N,0100630W
383413N,0090918W
002698N,0814632W
043104N,0086148W
039440N,0773327W
415432N,0704343W
404622N,0113231W
067329N,0155019W
344427N,0118137W
403630N,1115829W
555511N,1592927W
004033N,0086146W
385835N,0761946W
333722N,0924548W
375333N,1124632W
302840N,0098716W
003870N,0089280W
039405N,1195235W
361520N,0105322W
045276N,0693229W
342924N,0824220W
039405N,1195235W
415842N,0875439W
343332N,0834248W
392356N,0775923W
392956N,0119465W
371958N,1214911W
361615N,1155942W
331011N,0861811W
013329S,0715620W
003456N,0117846W
,
043550N,0086540W
433929N,1165017W
034120N,1065411W
,
041461N,0093171W
003251N,0097550W
414145N,0088745W
032231N,0944225W
323439N,0096433W
404543N,0814247W
405110N,0852725W
391910N,0120832W
644832N,1475114W
604734N,1614917W
271535N,0080511W
023950S,0515448W
194159N,0721334W
038557N,1061027W
,
041212N,0114483W
555511N,1592924W
042284N,0853853W
413518N,0109136W
033724N,0116550W
445133N,0069291W
044125N,0695929W
057417N,1523033W
422941N,0723953W
484229N,1225438W
401642N,0011035W
031594N,0834550W
353531N,0079532W
293616N,0095919W
334118N,0112457W
423940N,0882140W
045441N,0833337W
424749N,0105239W
,
058422N,0134517W
061307N,1485441W
,
354932N,0903828W
043351N,1082735W
060414N,1495712W
372427N,1194324W
394459N,0010500W
424640N,0961137W
275422N,0082418W
595213N,1474716W
392155N,0813142W
303538N,0954134W
033168N,1114840W
033418N,0112511W
381247N,1221650W
033050N,0843644W
363412N,1212624W
,
591423N,1353020W
454615N,1225142W
041308N,0741613W
234639S,0453240W
029101N,0952434W
304256N,0961952W
041141N,0814752W
025460N,0801730W
042458N,0139010E
372922N,0941841W
008540S,1172310E
373144N,0106226W
384849N,0106724W
037025N,0855410W
385019N,0991614W
225812S,0431730W
004414N,0101384W
,
375717N,0076527W
412135N,0073306W
272441N,0803134W
033278N,0935916W
039104N,0077934W
039188N,0964519W
403710N,1115934W
403616N,1115856W
405631N,0741813W
,
404420N,0073586W
393413N,0077584W
043527N,0685326W
,
362946N,0076144W
,
013291N,1444729E
,
261020N,0981411W
401531N,1033419W
385055N,0079056W
383054N,0092490W
472841N,0925050W
424442N,0086533W
274847N,0802944W
352248N,0861448W
003342N,0096333W
365341N,0812059W
040173N,0822657W
364356N,1194913W
026558N,0815927W
325916N,0097198W
174720S,0051462W
362216N,0821024W
364658N,0762650W
030474N,0833814W
334548N,0084246W
194725N,1545513W
039281N,0007712W
441014N,0684029W
062200N,0151400W
413055N,0075155W
393413N,1045058W
039439N,0943747W
444152N,0855449W
313326N,0913014W
363333N,0861533W
365924N,1195736W
255950N,0801319W
046555N,1173913W
001091N,0067560W
044310N,0855831W
003811N,1223115W
037387N,0725143W
471139N,0120530W
362211N,0096026W
324834N,0117813W
038357N,0774223W
453457N,0123310W
412035N,0071487W
022929S,0052011W
402444N,0865613W
033221N,1165455W
385032N,0991623W
059513N,1543335W
615432N,0150528W
351521N,0084353W
412233N,0732758W
383119N,0775120W
335350N,0891650W
034568N,1163952W
355225N,0097235W
041142N,0814754W
040391N,0120467W
345856N,0106018W
,
372021N,0764523W
033171N,0844420W
415013N,0071121W
365745N,0931015W
002941N,0081171W
441817N,0096491W
033387N,0842513W
431011N,0884323W
324831N,0096217W
271535N,0080511W
036311N,0791922W
301834N,0915616W
008120N,0062435W
335219N,0084184W
412432N,0096619W
302642N,0895920W
351720N,0781047W
324911N,0972144W
402429N,0831310W
391757N,0754757W
029934N,0081150W
355822N,0011584W
403823N,0734644W
023531S,0544432W
,
040150N,0086155W
028210N,0077170E
043310N,0003036W
191125S,0232642E
354024N,1203736W
334858N,0824914W
415425N,0881454W
382724N,0802345W
032586N,0965011W
294124N,0821619W
611113N,0159718W
555512N,1592926W
036417N,0892213W
422059N,0083336W
033263N,0112041W
383612N,0077353W
354731N,0801751W
472312N,0925020W
451744N,1225719W
283939N,0892429W
019949N,0009688W
381720N,1042947W
311749N,0894846W
325532N,0972528W
465634N,0965544W
033453N,0842323W
391135N,0122722W
030815N,0825321W
331114N,0080215W
463347N,0096441W
392744N,0084157W
452710N,0119374W
,
,
,
253331N,0803054W
044843N,1205823W
594037N,0155612W
243322N,0814534W
,
040229N,0076125W
,
373625N,0007914W
304728N,0082125W
463642N,0114248W
,
353751N,0955658W
034549N,0845530W
411235N,0804059W
463742N,1183534W
037251N,0773932W
003230N,0095302W
422518N,0882329W
261429N,0080623W
243322N,0814534W
,
039253N,0772227W
004990N,0082270W
035423N,1012337W
005046N,0395539E
362617N,0993122W
104145N,0071912E
040118N,0855730W
003483N,1162347W
455633N,0116725W
291437N,0823246W
264435N,0008032W
,
034635S,0394936E
364155N,0093248W
261130N,0080108W
482114N,0114710E
323420N,1165848W
044222N,0713227W
039846N,1222114W
332240N,1102742W
054124N,0763830W
033394N,0971130W
041920N,1044837W
034205N,1134316W
002143N,1565035W
372414N,1055135W
445157N,0091294W
044255N,1032231W
,
323126N,0945811W
026362N,0814818W
424655N,0713053W
382423N,1215814W
281723N,0812613W
271919N,0081126W
394153N,0085752W
194454N,0079456W
465417N,0012269W
334117N,0112457W
039445N,0099191W
455158N,0952341W
045810N,1224924W
,
425755N,0834437W
354238N,1121249W
059450N,0015100W
635122N,0145534W
,
034554N,0925420W
502732N,0185726E
491420N,0008357E
,
353541N,0922643W
415621N,0774131W
043124N,0106218W
325026N,0845257W
029182N,0081649W
303037N,0089850W
382124N,0762411W
044729N,1112715W
035231N,1161810W
003453N,1174550W
042032N,0882727W
275534N,0082216W
355651N,1145140W
020529N,0156273W
035561N,0781447W
434611N,0087516W
039347N,1045034W
281926N,0082288W
030211N,0090115W
453335N,0933629W
,
374337N,0891316W
303939N,0962959W
332621N,0111272W
045534N,0090738W
345054N,1114716W
314932N,0094914W
042165N,0882255W
405651N,0741852W
334454N,0852014W
395447N,0084241W
412652N,0903033W
,
142042N,0623519W
333745N,0009792W
030219N,0090125W
343858S,0059272W
294421N,0098274W
028547N,0821832W
042952N,0875353W
373012N,0077736W
411511N,0070337W
363733N,0931344W
331819N,1052139W
432017N,0114139W
465737N,0942530W
381232N,1221647W
613426N,1591725W
473148N,0122187W
454323N,0000553E
040276N,0105040W
301435N,0985433W
434020N,0793649W
,
625812N,0156448W
432017N,0762425W
054124N,0763830W
034594N,0080259W
019570S,0014180E
032232N,0102451W
282529N,0925230W
351721N,0081476W
374937N,1074030W
445524N,0844329W
343932N,0872056W
161613S,0056392W
364114N,0008220W
353050N,0762846W
283824N,0081390W
373044N,0122150W
042519N,0735544W
374345N,1221427W
644850N,0147557W
341234N,1342323E
062751S,0761630W
212318N,0158029W
,
024413N,0062110W
124818S,0154554E
,
383445N,1215125W
020846S,0444126W
373637N,1222244W
361011N,0011579W
413637N,0084738W
027417N,0822625W
414645N,0874614W
433532N,0096457W
035140N,0098010W
044832N,1151850W
362738N,1165247W
048110N,0122380W
334225N,1122212W
035331N,0011892W
352224N,0892052W
381142N,0090238W
445450N,0097917W
035377N,1005938W
064198N,1584429W
022310S,0150200E
025410S,0148380E
482942N,0123248W
413928N,1091612W
003268N,1105726W
333755N,0842559W
372116N,0782610W
333630N,1115548W
451921N,0075409W
041920N,1044838W
059218N,1515531W
364959N,0114321W
036122N,0764815W
305650N,0096167W
262252S,0492211W
295922N,0842326W
026361N,0805630W
331254N,0971213W
032011N,1025034W
404635N,0742835W
039442N,0841237W
332535N,0885030W
335841N,0835744W
423530N,0723123W
395332N,0076517W
362511N,0823522W
066221N,1541653W
595235N,0163107W
,
393414N,0951049W
401329N,0083216W
415435N,0724622W
355427N,0835510W
295252N,0814519W
027650N,0824333W
044564N,0093337W
037820N,0093619W
391941N,0822631W
375946N,0122340W
244132N,0081412W
007700S,0016600E
392712N,0841429W
261132N,0080952W
404812N,0124646W
302914N,0089394W
333458N,1171846W
415935N,0711128W
301927N,0813119W
445432N,0852436W
413058N,0112158W
414430N,0721123W
311930N,0992430W
075013N,0072724W
027543N,0813448W
,
030220N,0914315W
004140N,0722035W
331413N,1071618W
301831N,0095270W
039451N,1045959W
311649N,1002438W
333137N,1121743W
361231N,1151143W
331230N,0964430W
027453N,0823722W
334118N,0112457W
285516N,0081394W
038566N,0107284W
292944N,0098928W
341020N,0833325W
044139N,0095228W
451823N,0913812W
242548N,0078120W
305144N,1003639W
423343N,0714618W
452638N,0844712W
037429N,0106216W
442022N,0874915W
323420N,1165849W
414636N,0070659W
324738N,0089725W
031471N,0641237E
037499N,0096512W
,
004571N,0095746W
364347N,0096411W
038221N,0823331W
064480N,0147510W
,
293139N,0912344W
036261N,0865353W
033578N,0008665W
021197N,1575520W
461812N,0119189W
362519N,1051723W
,
,
325214N,0965959W
302718N,0881240W
303614N,0843249W
613841N,0015067W
385345N,0853320W
,
055952N,0623446W
341222N,0119728W
323932N,0802533W
,
,
,
030140N,0814030W
604330N,0151180W
029429N,0081229W
035378N,0078411W
029857N,0821331W
601234N,0162149W
342534N,1195029W
016220S,0573545W
444516N,0731626W
395531N,0765235W
275431N,0824310W
334734N,1121555W
324934N,1165820W
442932N,0116053W
264614N,0008027W
,
341926N,0092210W
272326N,0823310W
404831N,0080947W
391031N,0076406W
464037N,1225858W
213428N,1581130W
061120N,0149300W
321840N,0090433W
039857N,0943446W
433351N,1161322W
,
611024N,0149590W
402931N,1233553W
341610N,0011011W
481043N,1141813W
364832N,1195527W
415727N,0100348W
424346N,0082542W
334032N,0117525W
034480S,0150380E
283739N,0814810W
033934N,0096212W
037378N,1222229W
,
475616N,1242334W
381712N,1042928W
345052N,0082210W
404233N,0734947W
028346N,0814512W
325935N,0115311W
482441N,1171948W
433658N,0721859W
032439N,0952613W
043828N,0089203W
411057N,1113459W
002990N,0981622W
,
361745N,1152018W
004233N,0104557W
484532N,0121501W
321217N,0804131W
021819S,0284819E
365336N,1212437W
325236N,0795732W
006260N,1453148W
445359N,1151958W
,
253852N,0802558W
472951N,1214456W
384812N,0104421W
039425N,0094243W
034450N,0882939W
,
324832N,0991925W
434334N,1101159W
038204N,0814332W
432719N,0096489W
032565N,1112521W
594520N,1545539W
202810S,0544013W
404028N,1224937W
034596N,0785322W
374425N,1063132W
040292N,1071343W
342712N,0842726W
003827N,1214519W
481838N,1141522W
031576N,0008574W
414918N,1071249W
453521N,1223620W
383132N,0775135W
053711N,0063446E
405231N,0741653W
061105N,1495819W
,
424746N,0904049W
042213N,0083335W
323633N,0822212W
445359N,1151958W
404220N,0095259W
411549N,0725320W
372259N,1195930W
384626N,1215219W
026421N,0080910W
,
375551N,0121143W
373113N,0774913W
030219N,0952452W
044524N,0931336W
295735N,0954122W
262624N,0008230W
024368N,0081452W
395711N,1174937W
463415N,1215828W
291916N,0982735W
032562N,1165949W
343413N,0863540W
403313N,0124757W
039477N,1043235W
032638N,0841120W
028534N,0803935W
004098N,0973513W
040108N,0009697W
262242N,0080627W
034393N,1064611W
044217N,1024934W
031574N,0085740W
412328N,0833749W
,
472825N,0003315E
253334N,1032410W
