iter	Passed	Remaining
277	54395	43437
278	54579	43233
279	54765	43030
280	54974	42844
281	55169	42648
282	55366	42453
283	55569	42263
284	55763	42067
285	55942	41858
286	56133	41660
287	56316	41455
288	56511	41259
289	56703	41060
290	56900	40866
291	57100	40674
292	57286	40472
293	57463	40263
294	57656	40066
295	57863	39879
296	58038	39669
297	58228	39469
298	58415	39269
299	58631	39087
300	58823	38890
301	59014	38691
302	59203	38491
303	59398	38296
304	59612	38112
305	59801	37913
306	59989	37712
307	60202	37529
308	60390	37328
309	60585	37132
310	60777	36935
311	60986	36748
312	61168	36544
313	61353	36343
314	61539	36142
315	61742	35951
316	61927	35750
317	62111	35548
318	62303	35351
319	62486	35148
320	62687	34956
321	62881	34760
322	63089	34572
323	63269	34368
324	63453	34167
325	63642	33968
326	63820	33764
327	64011	33567
328	64204	33370
329	64393	33172
330	64584	32975
331	64773	32776
332	64980	32587
333	65172	32391
334	65357	32191
335	65553	31996
336	65746	31800
337	65963	31615
338	66178	31429
339	66373	31234
340	66582	31046
341	66784	30853
342	66994	30664
343	67194	30471
344	67407	30284
345	67621	30097
346	67804	29896
347	67998	29700
348	68212	29513
349	68402	29315
350	68608	29124
351	68792	28924
352	68986	28728
353	69177	28530
354	69368	28333
355	69567	28139
356	69743	27936
357	69941	27742
358	70133	27545
359	70327	27349
360	70510	27149
361	70697	26951
362	70891	26755
363	71068	26552
364	71241	26349
365	71440	26155
366	71674	25974
367	71862	25776
368	72055	25580
369	72244	25383
370	72430	25184
371	72624	24988
372	72807	24789
373	72982	24587
374	73195	24398
375	73402	24207
376	73590	24009
377	73763	23807
378	73947	23608
379	74122	23407
380	74309	23209
381	74488	23009
382	74673	22811
383	74863	22614
384	75041	22414
385	75255	22225
386	75433	22025
387	75627	21830
388	75811	21632
389	75996	21434
390	76195	21241
391	76373	21041
392	76562	20845
393	76729	20642
394	76940	20452
395	77125	20255
396	77342	20066
397	77577	19881
398	77778	19688
399	77990	19497
400	78206	19307
401	78413	19115
402	78610	18921
403	78831	18732
404	79063	18545
405	79266	18352
406	79451	18154
407	79678	17966
408	79869	17770
409	80058	17573
410	80240	17375
411	80416	17176
412	80611	16981
413	80799	16784
414	80976	16585
415	81167	16389
416	81340	16190
417	81527	15993
418	81745	15802
419	81929	15605
420	82118	15409
421	82306	15213
422	82535	15024
423	82717	14826
424	82908	14630
425	83098	14434
426	83277	14237
427	83459	14039
428	83643	13843
429	83856	13651
430	84057	13457
431	84242	13260
432	84427	13063
433	84618	12868
434	84818	12674
435	85002	12477
436	85200	12282
437	85394	12087
438	85585	11892
439	85779	11697
440	85966	11501
441	86159	11306
442	86348	11110
443	86544	10915
444	86731	10719
445	86932	10525
446	87129	10330
447	87326	10136
448	87519	9940
449	87711	9745
450	87902	9550
451	88100	9355
452	88291	9160
453	88472	8964
454	88661	8768
455	88859	8574
456	89050	8378
457	89273	8186
458	89515	7995
459	89771	7806
460	90013	7615
461	90276	7425
462	90492	7231
463	90717	7038
464	90951	6845
465	91181	6652
466	91382	6457
467	91573	6261
468	91776	6066
469	91982	5871
470	92177	5675
471	92362	5479
472	92566	5283
473	92784	5089
474	92971	4893
475	93160	4697
476	93363	4501
477	93544	4305
478	93729	4109
479	93912	3913
480	94103	3717
481	94280	3520
482	94475	3325
483	94672	3129
484	94853	2933
485	95043	2737
486	95243	2542
487	95424	2346
488	95621	2150
489	95821	1955
490	96015	1759
491	96204	1564
492	96399	1368
493	96588	1173
494	96780	977
495	96966	781
496	97171	586
497	97360	391
498	97579	195
499	97775	0
