iter	Logloss
0	0.4337167989
1	0.2757791313
2	0.15772115
3	0.1027243371
4	0.07818414782
5	0.06214930487
6	0.05235186933
7	0.04770181918
8	0.0431654884
9	0.03690285674
10	0.03378349785
11	0.03141190856
12	0.02920620126
13	0.02760921142
14	0.02669519015
15	0.02624010295
16	0.02596015342
17	0.02529995151
18	0.02513818514
19	0.02458880516
20	0.02368754289
21	0.02358608062
22	0.0234777973
23	0.02343827446
24	0.02331833848
25	0.02310792693
26	0.02307234274
27	0.02303739595
28	0.02300168067
29	0.02240347317
30	0.02237450985
31	0.02223411991
32	0.02216225425
33	0.02213608999
34	0.02203029634
35	0.0217997055
36	0.02177285328
37	0.02174344134
38	0.02170967509
39	0.02167965037
40	0.02162792112
41	0.02160185214
42	0.02157350874
43	0.0215469346
44	0.02151973738
45	0.02149425216
46	0.02143154239
47	0.02140600631
48	0.02138001695
49	0.02135348494
50	0.02132644052
51	0.02130109809
52	0.02127522575
53	0.02124896374
54	0.02122300722
55	0.02119681883
56	0.02117109441
57	0.02114657957
58	0.02111809252
59	0.02109380586
60	0.02107054998
61	0.02092978658
62	0.02090783405
63	0.02088293557
64	0.0208567737
65	0.02083320132
66	0.02081136051
67	0.02078451741
68	0.02076051729
69	0.02073919347
70	0.02071672812
71	0.02069059238
72	0.02066678286
73	0.0206451397
74	0.02061848485
75	0.02059476217
76	0.02057018715
77	0.02054580991
78	0.02052250311
79	0.02049831433
80	0.02047270344
81	0.02045061511
82	0.02036553181
83	0.02034287335
84	0.02031788336
85	0.02029367133
86	0.02027089769
87	0.02024634152
88	0.02022177475
89	0.02019831165
90	0.0201768742
91	0.02015065446
92	0.02012803332
93	0.02010417597
94	0.02008086129
95	0.02005564835
96	0.02002816267
97	0.02000499736
98	0.01986598055
99	0.01984208401
100	0.01981576697
101	0.01979111899
102	0.01976741035
103	0.01974211003
104	0.01971707885
105	0.0196935031
106	0.01966247241
107	0.01963761331
108	0.01961475319
109	0.01959149119
110	0.01956877218
111	0.01943399228
112	0.01941149156
113	0.0193894834
114	0.01936809961
115	0.01933375169
116	0.01931237714
117	0.01926171245
118	0.01924056407
119	0.01921992584
120	0.01919942098
121	0.01917915984
122	0.0191593187
123	0.01913963415
124	0.01911998313
125	0.01909348119
126	0.01904395865
127	0.01902435822
128	0.0190048756
129	0.01898567214
130	0.01896680139
131	0.01894771951
132	0.01892908331
133	0.01891040044
134	0.01889192289
135	0.01887350317
136	0.0186197646
137	0.01861930157
138	0.01861930157
139	0.01861930157
140	0.01861930157
141	0.01861930157
142	0.01861930157
143	0.01861930157
144	0.01861930157
145	0.01861930157
146	0.01861930157
147	0.01861930157
148	0.01861930157
149	0.01861930157
150	0.01861930157
151	0.01861930157
152	0.01861930157
153	0.01861930157
154	0.01861930157
155	0.01861930157
156	0.01861930157
157	0.01861930157
158	0.01861930157
159	0.01861930157
160	0.01861930157
161	0.01861930157
162	0.01861930157
163	0.01861930157
164	0.01861930157
165	0.01861930157
166	0.01861930157
167	0.01861930157
168	0.01861930157
169	0.01861930157
170	0.01861930157
171	0.01861930157
172	0.01861930157
173	0.01861930157
174	0.01861930157
175	0.01861930157
176	0.01861930157
177	0.01861930157
178	0.01861930157
179	0.01861930157
180	0.01861930157
181	0.01861930157
182	0.01861930157
183	0.01861930157
184	0.01861930157
185	0.01861930157
186	0.01861930157
187	0.01861930157
188	0.01861930157
189	0.01861930157
190	0.01861930157
191	0.01861930157
192	0.01861930157
193	0.01861930157
194	0.01861930157
195	0.01861930157
196	0.01861930157
197	0.01861930157
198	0.01861930157
199	0.01861930157
200	0.01861930157
201	0.01861930157
202	0.01861930157
203	0.01861930157
204	0.01861930157
205	0.01861930157
206	0.01861930157
207	0.01861930157
208	0.01861930157
209	0.01861930157
210	0.01861930157
211	0.01861930157
212	0.01861930157
213	0.01861930157
214	0.01861930157
215	0.01861930157
216	0.01861930157
217	0.01861930157
218	0.01861930157
219	0.01861930157
220	0.01861930157
221	0.01861930157
222	0.01861930157
223	0.01861930157
224	0.01861930157
225	0.01861930157
226	0.01861930157
227	0.01861930157
228	0.01861930157
229	0.01861930157
230	0.01861930157
231	0.01861930157
232	0.01861930157
233	0.01861930157
234	0.01861930157
235	0.01861930157
236	0.01861930157
237	0.01861930157
238	0.01861930157
239	0.01861930157
240	0.01861930157
241	0.01861930157
242	0.01861930157
243	0.01861930157
244	0.01861930157
245	0.01861930157
246	0.01861930157
247	0.01861930157
248	0.01861930157
249	0.01861930157
250	0.01861930157
251	0.01861930157
252	0.01861930157
253	0.01861930157
254	0.01861930157
255	0.01861930157
256	0.01861930157
257	0.01861930157
258	0.01861930157
259	0.01861930157
260	0.01861930157
261	0.01861930157
262	0.01861930157
263	0.01861930157
264	0.01861930157
265	0.01861930157
266	0.01861930157
267	0.01861930157
268	0.01861930157
269	0.01861930157
270	0.01861930157
271	0.01861930157
272	0.01861930157
273	0.01861930157
274	0.01861930157
275	0.01861930157
276	0.01861930157
277	0.01861930157
278	0.01861930157
279	0.01861930157
280	0.01861930157
281	0.01861930157
282	0.01861930157
283	0.01861930157
284	0.01861930157
285	0.01861930157
286	0.01861930157
287	0.01861930157
288	0.01861930157
289	0.01861930157
290	0.01861930157
291	0.01861930157
292	0.01861930157
293	0.01861930157
294	0.01861930157
295	0.01861930157
296	0.01861930157
297	0.01861930157
298	0.01861930157
299	0.01861930157
300	0.01861930157
301	0.01861930157
302	0.01861930157
303	0.01861930157
304	0.01861930157
305	0.01861930157
306	0.01861930157
307	0.01861930157
308	0.01861930157
309	0.01861930157
310	0.01861930157
311	0.01861930157
312	0.01861930157
313	0.01861930157
314	0.01861930157
315	0.01861930157
316	0.01861930157
317	0.01861930157
318	0.01861930157
319	0.01861930157
320	0.01861930157
321	0.01861930157
322	0.01861930157
323	0.01861930157
324	0.01861930157
325	0.01861930157
326	0.01861930157
327	0.01861930157
328	0.01861930157
329	0.01861930157
330	0.01861930157
331	0.01861930157
332	0.01861930157
333	0.01861930157
334	0.01861930157
335	0.01861930157
336	0.01861930157
337	0.01861930157
338	0.01861930157
339	0.01861930157
340	0.01861930157
341	0.01861930157
342	0.01861930157
343	0.01861930157
344	0.01861930157
345	0.01861930157
346	0.01861930157
347	0.01861930157
348	0.01861930157
349	0.01861930157
350	0.01861930157
351	0.01861930157
352	0.01861930157
353	0.01861930157
354	0.01861930157
355	0.01861930157
356	0.01861930157
357	0.01861930157
358	0.01861930157
359	0.01861930157
360	0.01861930157
361	0.01861930157
362	0.01861930157
363	0.01861930157
364	0.01861930157
365	0.01861930157
366	0.01861930157
367	0.01861930157
368	0.01861930157
369	0.01861930157
370	0.01861930157
371	0.01861930157
372	0.01861930157
373	0.01861930157
374	0.01861930157
375	0.01861930157
376	0.01861930157
377	0.01861930157
378	0.01861930157
379	0.01861930157
380	0.01861930157
381	0.01861930157
382	0.01861930157
383	0.01861930157
384	0.01861930157
385	0.01861930157
386	0.01861930157
387	0.01861930157
388	0.01861930157
389	0.01861930157
390	0.01861930157
391	0.01861930157
392	0.01861930157
393	0.01861930157
394	0.01861930157
395	0.01861930157
396	0.01861930157
397	0.01861930157
398	0.01861930157
399	0.01861930157
400	0.01861930157
401	0.01861930157
402	0.01861930157
403	0.01861930157
404	0.01861930157
405	0.01861930157
406	0.01861930157
407	0.01861930157
408	0.01861930157
409	0.01861930157
410	0.01861930157
411	0.01861930157
412	0.01861930157
413	0.01861930157
414	0.01861930157
415	0.01861930157
416	0.01861930157
417	0.01861930157
418	0.01861930157
419	0.01861930157
420	0.01861930157
421	0.01861930157
